Region,ID,Classification,Metro,Address,Facility,Data Center,Contact,Location (Relative to Airport),Colocation Gross SQ FT,Colocation Gross SQ M,Building Type,Parking,Floor Type,Floor Load Capacity,Flood Plain Info,Rating Range,Seismic Design Category,Fire Suppression,Power and Cooling Density,Utility Feeders,UPS Configuration,UPS Redundancy,Standby Power Configuration,Standby Power Redundancy,Cooling Configuration,Cooling Redundancy,Security (Physical),Security (Human),Security (Electronic),Amenities,Products and Services (Colocation ),Products and Services (Interconnection),Products and Services (Services),Products and Services (Packaged Solutions),Certifications,Green By Design,Reliability
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Cross Connects, Equinix Management Access","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","LEED Silver, Granular temperature controls & Cold aisle containment, Reflective roof, LEDs & Optimized lighting controls, Greywater use in irrigation and cooling",

AMER,DE1,IBX,Denver,"9706 East Easter Avenue
Suite 160
Englewood, CO 80112",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"12,111","1,125","1-story, concrete/steel",Building parking (no charge),Raised,120 psf (5.75 kN/m2),Zone X,,1,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,3,Parallel Redundant,N+1,"1 x 1,000 kW and 1 x 1,500 kW Diesel Generator",N+1,DX split system air condition system,N+1,Man Trap Entry,Security officers 8am25pm,"Card Readers, PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna",Cross Connects,"Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","Reflective roof, Optimized lighting controls",

AMER,LA1,IBX+,Los Angeles,"600 West 7th Street
6th & 7th Floors
Los Angeles, CA 90017",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"60,718","5,640","7-story, multi-tenant,
steel and concrete",Adjacent to building (for fee),Slab,100 psf (4.79 kN/m2),N/A,,4,"Double-Interlocked,
pre-action (dry pipe) deployed in two-zone
configuration",2.4 - 3.0 kVA per cabinet,3,Distributed Redundant,N+1,"5 x 1,500 kW Diesel Generators",N+1,"Central plant with air-cooled chillers, chilled water pumps, air handling units",N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects, Equinix Management Access, Extended Cross Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","Hot/cold aisle containment, LEDs & Optimized lighting controls, 100% renewable energy through solar power purchase agreement",

AMER,LA2,IBX+,Los Angeles,"818 West 7th Street
6th Floor
Los Angeles, CA 90017",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"13,819","1,284","8-story, Telco Hotel, reinforced
concrete, brick/stone veneered faade",Adjacent to building (for fee),Slab,125 psf (5.99 kN/m2),N/A,,4,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,NA,2N,2N,"2 x 1,250 kW Diesel Generators",N+1,Air-cooled Chillers and CRAC Units,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits,  Antenna","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects, Equinix Management Access, Extended Metro Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II",Granular temperature controls & Hot/cold aisle containment,

AMER,LA3,IBX+,Los Angeles,"1920 East Maple Avenue 
El Segundo, CA 90245",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"78,323","7,276","1-story, steel-concrete reinforced brick",Adjacent to building (no charge),Raised,250 psf (11.97 kN/m2),N/A,,4,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,2,Block Redundant,N+1,"11 x 2,000 kW Diesel Generators",N+1,Air-cooled and Water-cooled Chillers and CRAC units,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects, Campus Cross Connect, Extended Cross Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","Energy Star Certified 2013 & 2015, Granular temperature controls & Hot/cold aisle containment, LED Lighting, 100% renewable energy through solar power purchase agreement",

AMER,LA4,IBX+,Los Angeles,"445 North Douglas Street
El Segundo, CA 90245",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"62,159","5,775","1-story, tilt-up concrete,
steel, concrete on slab, on grade",Adjacent to building (no charge),Slab,250 psf (11.97 kN/m2),N/A,,4,"Double-Interlocked, pre-action (dry pipe)",3.0 - 5.0 kVA per cabinet,2,Block Redundant,N+1,"7 x 2,500 kW Diesel Generators",N+1,Water-cooled centrifugal chillers and air handling units,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects, Extended Metro Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","LEED Silver, Energy Star Certified 2012, 2013 & 2015, Hot/cold aisle containment, Reflective roof, LEDs & Optimized lighting controls, 100% renewable energy through solar power purchase agreement",

AMER,MI2,IBX,Miami,"36 NE Second Street
Miami, FL 33132",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"10,942","1,017","7-story, steel/concrete
structure, brick face",Adjacent to building (for fee),Slab,150 psf (7.18 kN/m2),Zone X,,0,"Double-Interlocked, pre-action
(dry pipe)
 Fm 200 depending on floor",2.4 - 3.0 kVA per cabinet,2,Parallel Redundant,N+1,"2 x 1,000 kW Diesel Generators",N+1,Evaporative Cooling Refrigeration Systems,N+1,Man Trap Entry,Security officers 8am25pm,"PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna",Cross Connects,"Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II",,

AMER,MI3,IBX+,Miami,"4680 Conference Way South
Suite 150
Boca Raton, FL 33431",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",,"19,000","1,765","1-story, steel/concrete
structure",Adjacent to building (no charge),Raised,400 psf (19.15 kN/m2),Zone A,,NA,"Double-Interlocked,
pre-action (dry pipe)",3.0 - 5.0 kVA per cabinet,2,Block Redundant,N+1,"2 x 2,500 kW Diesel Generators",N+1,Air-cooled screw chillers and water-cooled centrifugal central system,N+2,Man Trap Entry,24x7 security officers,"PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna","Internet Exchange, Metro Connect, Cross Connects, Extended Metro Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","LEED Gold, Granular temperature controls & Cold aisle containment, Optimized lighting controls",

AMER,NY1,IBX+,New York,"165 Halsey Street
8th Floor
Newark, NJ 07102",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com","5 mi (7 km) to Newark Airport (EWR), 20 mi (32 km) to La Guardia Airport (LGA), 27 mi (44 km) to John F Kennedy Airport (JFK)","21,771","2,022","14-story, steel-concrete",Adjacent to building (for fee),Slab,100 psf (4.79 kN/m2),,,2A,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,NA,2N,2N,4 x 750 kW Diesel Generators,N+1,CRAC units with common-loop dry cooler condenser water system,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Equinix Ethernet Exchange, Metro Connect, Cross Connects, Extended Metro Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II",Granular temperature controls,

AMER,NY2,IBX+,New York,"275 Hartz Way
Secaucus, NJ 07094",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com","14 mi (23 km) to Newark Airport (EWR), 17 mi (27 km) to La Guardia Airport (LGA), 25 mi (40 km) to John F Kennedy Airport (JFK)","131,037","12,174","1-story, concrete
structural slab and steel framing",Adjacent to building (no charge),Slab,250 psf (11.97 kN/m2),Zone AE,,2,"28 independent
dry pipe zones",2.4 - 3.0 kVA per cabinet,2,Distributed Redundant,N+1,"7 x 2,000 kW Diesel Generators",N+1,Water-cooled centrifugal chillers and air handling units,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects, Extended Metro Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","Granular temperature controls & Hot/cold aisle containment, LEDs & Optimized lighting controls",

AMER,NY4,IBX+,New York,"755 Secaucus Road
Secaucus, NJ 07094",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com","12 mi (19 km) to Newark Airport (EWR), 17 mi (27 km) to La Guardia Airport (LGA), 24 mi (39 km) to John F Kennedy Airport (JFK)","151,772","14,100","1-story with 2nd floor Mezzanine, 
concrete structural slab and steel framing.",Adjacent to building (no charge),Slab,17 5psf (8.38 kN/m2),Zone AE,,C,"Double-Interlocked
pre-action (dry pipe); Multiple zones
sprinklered",4.0 - 5.0 kVA per cabinet,2,Block Redundant,N+1,"18 x 2,500 kW Diesel Generators",N+1,Water-cooled centrifugal chillers and air handling units,N+2,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Equinix Ethernet Exchange, Metro Connect, Cross Connects, Extended Metro Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","Energy Star Certified 2013 & 2015, Reflective roof, LEDs & Optimized lighting controls",

AMER,NY5,IBX+,New York,"800 Secaucus Road
Secaucus, NJ 07094",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com","12 mi (19 km) to Newark Airport (EWR), 17 mi (27 km) to La Guardia Airport (LGA), 24 mi (39 km) to John F Kennedy Airport (JFK)","62,315","5,789","2-story, steel structure with
concrete exterior",Adjacent to building (no charge),Slab,250 psf (11.97 kN/m2),Zone AE,,C,"Double-Interlocked,
pre-action (dry pipe)",4.0 - 5.0 kVA per cabinet,2,Block Redundant,N+1,"5 x 2,500 kW Diesel Generators",N+1,"Water-cooled, self-contained DX penthouse air conditioning units",N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Equinix Ethernet Exchange, Metro Connect, Cross Connects, Equinix Management Access, Metro Connect - Dark Fiber","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","LEED Silver, Granular temperature controls & Cold aisle containment, Reflective roof, LEDs & Optimized lighting controls, Electric vehicle chargers",

AMER,NY6,Business Suites,New York,"105 Enterprise Avenue South
Secaucus, NJ 07094",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",13 mi (20 km) to Newark Liberty International Airport (EWR),"16,390","1,522","1-story, steel structure,
concrete slab",Adjacent to building (no charge),Slab,175 psf (8.38 kN/m2),N/A,,C,"Double-Interlocked,
pre-action (dry pipe)
Fire Detection VESDA",Business Suites (300 kVA increments),2,2N,2N,"5 x 2,500 kW Diesel Generators",N+1,Indirect Evaporative Rooftop Units,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, CCTV and Recorders","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","IBXflex Office and Storage, Antenna, Business Suites, Business Suites in 300 kVA increments","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects, Metro Connect - Dark Fiber","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","LEED Silver, Low energy indirect evaporative cooling system & Hot aisle containment, Reflective roof, LEDs & Optimized lighting controls",

AMER,NY7,IBX,New York,"5851 West Side Avenue
North Bergen, NJ 07047",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com","14 mi (23 km) to Newark Liberty International Airport (EWR), 28 mi (45 km) to John F Kennedy International Airport (JFK), 17 mi (27 km) to LaGuardia Airport (LGA)","71,950","6,683","3-story, steel concrete
structure on slab metal, concrete face",Building parking (no charge),Raised,100 psf (4.79 kN/m2),N/A,,2B,"Double-Interlocked,
pre-action (dry pipe)",4.0 - 5.0 kVA per cabinet,2,Parallel Redundant,N+1,"8 x 2,000 kW and 1 x 2,500 kW Diesel Generators",N+1,Evaporative Cooling Refrigeration Systems,N+1,Man Trap Entry,24x7 security officers,"PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna, Business Continuity for Trading Rooms","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects, Extended Metro Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","Granular temperature controls & Hot/cold aisle containment, Reflective roof & Optimized lighting controls",

AMER,NY8,IBX,New York,"60 Hudson Street
Suite 1602
New York, NY 10011",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",13 mi (21 km) to Newark Airport (EWR) 12 mi (19 km) to LaGuardia Airport (LGA) 20 mi (32 km) to John F Kennedy Airport (JFK),"10,073",936,"23-story steel, brick
structure with brick concrete face",Adjacent to building (for fee),Raised,150 psf (7.18 kN/m2),Zone C,,2B,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,2,Parallel Redundant,N+1,"1 x 1,000 kW Diesel Generator",N,Evaporative Cooling Refrigeration Systems,N+1,Man Trap Entry,8am-5pm security officers,"PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects, Extended Cross Connect, Extended Metro Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II",Partial cold aisle containment,

AMER,NY9,IBX,New York,"111 8th Avenue
New York, NY 10011",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",14 mi (22 km) to Newark Airport (EWR) 10 mi (16 km) to LaGuardia Airport (LGA) 19 mi (30 km) to John F Kennedy Airport (JFK),"35,894","3,335","17-story, steel concrete
structure, concrete face",Adjacent to building (for fee),Raised,200 psf (9.58 kN/m2),Zone C,,2B,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,24,Parallel Redundant,N+1,Building-Owned,N+1,Evaporative Cooling Refrigeration Systems,N+1,Man Trap Entry,8am-5pm security officers,"PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects, Extended Cross Connect, Extended Metro Connect","Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II",Granular temperature controls & Partial cold aisle containment,

AMER,PH1,IBX,Philadelphia,"401 North Broad Street
Suite 990
Philadelphia, PA 19108",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",13 mi (21 km) to Philadelphia International Airport (PHL),"26,779","2,488","11-story, steel concrete
structure, concrete/brick face",Adjacent to building (for fee),Raised,200 psf (9.58 kN/m2),Zone X,,1,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,NA,Parallel Redundant,N+1,"2 x 1,500 kW and 1 x 775 kW Diesel Generators",N+1,"Glycol-cooled,  self-contained DX air conditioning system or chilled water towers (depending on Phase)",N or N+1 (depending on Phase),Man Trap Entry,8am-5pm security officers,"PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna",Cross Connects,"Smart Hands
Migration Planning
Equipment Sourcing
Installation
Professional Services","Performance Hub
 Data Hub","SSAE16 SOC-1 Type II, SOC-2 Type II","Granular temperature controls & Cold aisle containment, LEDs & Optimized lighting controls",

S AMER,RJ1,IBX,Rio De Janiero,"Rua Volunta_rios da Pa_tria, 360
Botafogo - Rio de Janeiro/RJ
CEP: 22270-010",x,x,"Sales: 0800 282 3330
Support: +55 11 3958-2564
Email: infobr@equinix.com","13.6 mi (22 km) from Rio de Janeiro International Airport - Tom Jobim (GIG), 6.2 mi (10 km) from Santos Dumont International Airport (SDU)","15,065","1,400","13-story, concrete building",Adjacent to building (for fee),Slab,300 psf (14.36 kN/m2),N/A,,NA,(VESDA)  ;  (FM-200),2.0 kVA per cabinet,2,Distributed Redundant,N+1,"4 x 700 KVA, 2 x 460 KVA and 2 x 440 KVA Diesel Generators",N+1,CRAC Units,N+1,Man Trap Entry,24x7 security officers,"Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Antenna, Business Continuity for Trading Rooms","Metro Connect, Cross Connects",,,"SSAE16 SOC-1 Type II, ISO 27001, PCI-DSS, ISO 9001-2008","RJ1 2012, Cold aisle containment",

S AMER,RJ2,IBX+,Rio De Janiero,"Estrada Adhemar Bebiano, 1380
Del Castilho - Rio de Janeiro/RJ
CEP: 21051-070",x,x,"Sales: 0800 282 3330
Support: +55 11 3958-2564
Email: infobr@equinix.com","7 miles (11 km) from Rio de Janeiro International Airport - Tom Jobim (GIG), 
9.3 miles (15 km) from Santos Dumont International Airport (SDU)","30,676","2,850",Concrete building,"Adjacent to building (no charge) and
adjacent to building (for fee)",Slab,300 psf (14.36 kN/m2),N/A,,NA,"(VESDA);  (FM-200) dry- pipe, pre-action suppression",4.0 - 12.0 kVA per cabinet,2,2N or Block Redundant (depending on Phase),2N or N+1 (depending on Phase),"2 x 2,500 kVA and 2 x 3,125 kVA Diesel Generators",2N or N+1 (depending on Phase),Direct Expansion Units,N+20%,Man Trap Entry,24x7 security officers,"Card Readers, Biometric Readers, PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Antenna","Metro Connect, Cross Connects",,,"SSAE16 SOC-1 Type II, ISO 27001, PCI-DSS, ISO 9001-2008","Cold aisle containment, LEDs & Optimized lighting controls, Rainwater capture",

S AMER,SP1,IBX,Sao Paulo,"Rua Doutor Miguel Couto, 58
Centro - Sao Paulo/SP
CEP: 01008-010",x,x,"Sales: 0800 282 3330
Support: +55 11 3958-2564
Email: infobr@equinix.com","17.4 miles (28 km) from So Paulo International Airport - Guarulhos (GRU), 7.4 miles (12 km) from Congonhas International Airport (CGH)","17,695","1,664","9-story, concrete building",Adjacent to building (for fee),Slab,205 psf (9.82 kN/m2),N/A,,NA,"(VESDA)  ;  (FM-200) dry- pipe, pre-action suppression",2.0 kVA per cabinet,2,Distributed Redundant,N+1,"3 x 440 kVA, 2 x 460 kVA, 2 x 500 kVA, and 1 x 700 kVA Diesel Generators",N+1,CRAC Units,N+1,Man Trap Entry,24x7 security officers,"Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Antenna, Business Continuity for Trading Rooms","Metro Connect, Cross Connects",,,"SSAE16 SOC-1 Type II, ISO 27001, PCI-DSS, ISO 9001-2008",Cold aisle containment,

S AMER,SP2,IBX+,Sao Paulo,"Alameda Araguaia, 3641
Tambore_ - Barueri/SP
CEP: 06455-000",x,x,"Sales: 0800 282 3330
Support: +55 11 3958-2564
Email: infobr@equinix.com","28.5 miles (46 km) from So Paulo International Airport - Guarulhos (GRU), 16.7 miles (27 km) from Congonhas International Airport (CGH)","34,432","3,200",Concrete building,"Adjacent to building (no charge) and
adjacent to building (for fee)",Slab,300 psf (14.36 kN/m2),N/A,,NA,"(VESDA)  ;  (FM-200) dry- pipe, pre-action suppression",4.0 - 12.0 kVA per cabinet,2,2N,2N,"3 x 2,500 kVA Diesel Generators",N+1,Direct Expansion Units,N + 20%,Man Trap Entry,24x7 security officers,"Card Readers, Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Antenna, Business Continuity for Trading Rooms","Cloud Exchange, Metro Connect, Cross Connects",,,"SSAE16 SOC-1 Type II, ISO 27001, PCI-DSS, ISO 9001-2008","Cold aisle containment, High airflow doors for lower PUE",

S AMER,SP3,IBX+,Sao Paulo,"Avenida Marcos Penteado de Ulha Rodrigues, 249
Santana de ParnaÃ_ba/SP
CEP: 06543-001",x,x,"Sales: 0800 282 3330
Support: +55 11 3958-2564
Email: infobr@equinix.com","32.3 mi (52 km) from Sao Paulo International Airport - Guarulhos (GRU), 20.5 mi (33 km) from Congonhas International Airport (CGH)","31,688","2,944","2-story building with a shell of precast concrete shell
 and a superstructure of reinforced concrete",Adjacent to building (no charge),Slab,261 psf (12.5 kN/m2),N/A,,N/A,Water Mist System,4.0 - 12.0 kVA per cabinet,2,Block Redundant,N+1,"8 x 3,125 kVA (2,500kW) diesel generators",N+1 + Swing Generator,"Indirect Evaporative Cooling (IDEC)
with evaporative and indirect free
cooling systems",N+20% on IDEC,Man Trap Entry,24x7 security officers,"Biometric Readers, CCTV and Recorders, Motion Detection","Break Room
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Business Continuity for Trading Rooms","Cloud Exchange, Metro Connect, Cross Connects",,"Performance Hub
Data Hub",,"LEED Silver (targeted), Use of solar energy (photovoltaic cells) to supply of offices areas, Evaporative cooling and indirect
free cooling for colocation area and
technical rooms, Sewage and Rainwater treatment for reuse, Cold aisle containment",

AMER,SE2,IBX,Seattle,"2001 Sixth Ave.
The Westin Building, Suite 1202
Seattle, WA 98121",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",14 mi (23 km) to Seattle Tacoma International Airport (SEA),"36,382","3,380","34-story, steel concrete
structure, glass and concrete face",Building parking (for fee),Slab,100 psf (4.79 kN/m2),Zone X,,2B,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 5.0 kVA per cabinet,4,Parallel Redundant,N+1,"2 x 2,500 kW, 1 x 1,250 kW, and 1 x 750 kW Diesel Generators",N,CRAC/DX split system air condition system,N+1,Man Trap Entry,24x7 security officers,"PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Cross Connects, Campus Cross Connect",,,"SSAE16 SOC-1 Type II, SOC-2 Type II","Granular temperature controls & Cold aisle containment, Optimized lighting controls & Electric vehicle chargers",

AMER,SE3,IBX+,Seattle,"2020 Fifth Ave.
5/F, 6/F, 7/F, 8/F
Seattle, WA 98121",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",14 mi (23 km) to Seattle Tacoma International Airport (SEA),"17,750","1,649","8-story steel concrete
structure",Building parking (for fee),Slab,150 psf (7.18 kN/m2),N/A,,D,"Double-Interlocked,
pre-action (dry pipe)",3.0 - 5.0 kVA per cabinet,2,Distributed Redundant,N+1,"4 x 2,500 kW Diesel Generators",N+1,Water-cooled direct expansion (DX) Rooftop Units with Air Side Economizers,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
